Year,Units,Atvinnugrein,Value
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.50464
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.51528
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.61852
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.70452
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.78752
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.61498
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.3144
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.24
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.20677
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.20775
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.22977
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.28663
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.33176
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.3782
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.45397
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.4653
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.41044
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.44
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 23 Framleiðsla á vörum úr málmlausum steinefnum,0.4994
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.3196
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.32947
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,0.97429
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.52869
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.71714
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.51713
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.28318
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.38549
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,0.94112
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.54292
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.27915
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,2.73046
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,2.15738
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,4.2534
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,3.85436
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,2.52241
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,2.29442
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,2.57386
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,2.16235
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.38641
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.76279
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.06671
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.14224
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.0246
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 24 Framleiðsla málma,1.2464
1997,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.96913
1998,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.97306
1999,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.93668
2000,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.89359
2001,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.79749
2002,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.76376
2003,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.71636
2004,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.66543
2005,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.69287
2006,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.72182
2007,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.80663
2008,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.69994
2009,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.47871
2010,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.53224
2011,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.54046
2012,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.5678
2013,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.56001
2014,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.62138
2015,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.61992
2016,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.6632
2017,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.66276
2018,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.68521
2019,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.70229
2020,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.677
2021,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 25 Framleiðsla á málmvörum, að undanskildum vélum og búnaði",0.647
1997,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.02325
1998,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.02646
1999,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.02794
2000,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.03362
2001,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04071
2002,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.03907
2003,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.0347
2004,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04201
2005,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.02677
2006,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.05217
2007,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.03966
2008,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04014
2009,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04976
2010,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.05038
2011,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.06125
2012,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04651
2013,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04535
2014,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.05882
2015,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04737
2016,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04711
2017,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04183
2018,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.04101
2019,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.03095
2020,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.0856
2021,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 26 Framleiðsla á tölvu-, rafeinda- og optískum vörum",0.2671
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.06874
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.07055
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.07324
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.07024
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.06634
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.05612
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.04545
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.04622
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.05432
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.04146
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.0373
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.05626
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.05834
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.08378
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.11925
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.13167
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.14657
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.05497
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.09464
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.07553
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.0651
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.07134
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.05453
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.0849
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 27 Framleiðsla á rafbúnaði og heimilistækjum,0.0823
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.60553
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.56412
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.54159
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.46489
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.532
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.51757
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.53103
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.52012
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.42439
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.41089
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.3667
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.45533
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.51333
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.59574
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.59267
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.69573
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.59011
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.6324
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.54728
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.6277
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.64322
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.72231
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.67827
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.7956
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 28 Framleiðsla á öðrum ótöldum vélum og tækjum,0.7412
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.04906
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.04911
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.04737
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.04463
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.04776
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.04447
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.03857
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.03707
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.0398
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.03059
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.03526
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.03165
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.02771
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.02364
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.03136
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.0239
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.0228
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.02408
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.02586
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.02666
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.02031
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.01885
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.01431
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.0164
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 29 Framleiðsla á vélknúnum ökutækjum og tengivögnum,0.0158
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.2074
1998,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.18527
1999,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.15351
2000,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.149
2001,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.14466
2002,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.13962
2003,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.11088
2004,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.10266
2005,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.10688
2006,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.08863
2007,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02085
2008,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02621
2009,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02196
2010,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.0261
2011,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02594
2012,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02331
2013,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02956
2014,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.03813
2015,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.03052
2016,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.01911
2017,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.02039
2018,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.01779
2019,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.01861
2020,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.0241
2021,Hlutfall (%) af vergri þjóðarframleiðslu,C: 30 Framleiðsla annarra farartækja,0.0172
1997,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.81352
1998,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.83121
1999,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.82696
2000,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.85467
2001,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.84144
2002,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.83925
2003,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.82946
2004,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.84976
2005,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.74464
2006,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.85727
2007,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.5362
2008,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.56921
2009,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.43871
2010,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.57255
2011,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.64648
2012,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.65071
2013,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.69243
2014,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.73191
2015,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.73288
2016,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.69701
2017,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.60957
2018,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.59082
2019,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.63149
2020,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.7898
2021,Hlutfall (%) af vergri þjóðarframleiðslu,"C: 31-32 Framleiðsla á húsgögnum, innréttingum og vörum til lækninga; önnur framleiðsla",0.6861
1997,Hlutfall (%) af vergri þjóðarframleiðslu,C: 33 Viðgerðir og uppsetning vélbúnaðar og tækja,0.65962
